index,start,end,type,filename,description,job_id,url
1,0:00,0:02,char,0-00.jpg,"the same man holding a single $12 bill next to a small sad-looking sandwich on a plate, shrugging",b94e13c9-feba-4b45-a320-a197b2f7d6c5,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260704_174938_b94e13c9-feba-4b45-a320-a197b2f7d6c5.png
2,0:02,0:04,obj,0-02.jpg,"a wobbly arrow shooting up from a small tag reading ""$12"" to a giant sign reading ""$4,000/MO"" with stars around it",7e9fe2f5-6d04-44b2-89ec-b8dec498542c,
3,0:04,0:07,char,0-04.jpg,"the same man excitedly dropping a coin into a jar labeled ""STOCKS"" with several coins already multiplying inside",efb8231d-5f20-4078-ba9f-b36b29e7d41c,
4,0:07,0:09,obj,0-07.jpg,"a wobbly chalkboard reading ""THE MATH"" with ""$12/WK"" circled and a big arrow pointing to ""$4K/MO""",944c7cdc-5831-4359-86aa-8e7236aa65ec,
5,0:09,0:12,char,0-09.jpg,"the same man sitting cross-legged like telling a story, a wobbly speech bubble reading ""LET'S START AT THE BEGINNING""",bf5dabb1-547e-4932-b478-548173503245,
6,0:12,0:15,char,0-12.jpg,"the same man pointing proudly at a giant wobbly word ""DIVIDENDS"" with a starburst behind it",aa861819-51af-494a-b743-8672c8a5df37,
7,00:15,00:20,char,0-15.jpg,"the same man tearing a small ticket labeled ""TICKER"" in half, unimpressed",0ac6f8d9-5a2d-4624-ab44-5c3573349a0d,
8,00:20,00:23,obj,0-20.jpg,"a big pie chart with one tiny slice highlighted, labeled ""YOUR SLICE""",d67aec74-7158-40fc-b0d0-f4d06b36d017,
9,00:23,00:32,char,0-23.jpg,"the same man standing next to a big building labeled ""COMPANY"" with cash flowing from it into his open hands",5f1c69c4-cb2b-4fe2-9b24-9077b7942976,
10,00:32,00:35,obj,0-32.jpg,"a big check with ""DIVIDEND"" written across it",d6a38147-aee3-4363-971a-ce9ec8a0a401,
11,00:35,00:38,char,0-35.jpg,"the same man in a tiny suit shaking hands quietly, a wobbly label ""SILENT PARTNER""",b0d2505b-6190-463a-be12-901964d16537,
12,00:38,00:44,char,0-38.jpg,the same man receiving a giant wobbly check from a factory-like building,80deafc9-f9f3-4bbc-9c42-5c96758897ad,
