index	start	end	type	filename	description
1	0:00	0:02	char	0-00.jpg	the same man holding a single $12 bill next to a small sad-looking sandwich on a plate, shrugging
2	0:02	0:04	obj	0-02.jpg	a wobbly arrow shooting up from a small tag reading "$12" to a giant sign reading "$4,000/MO" with stars around it
3	0:04	0:07	char	0-04.jpg	the same man excitedly dropping a coin into a jar labeled "STOCKS" with several coins already multiplying inside
4	0:07	0:09	obj	0-07.jpg	a wobbly chalkboard reading "THE MATH" with "$12/WK" circled and a big arrow pointing to "$4K/MO"
5	0:09	0:12	char	0-09.jpg	the same man sitting cross-legged like telling a story, a wobbly speech bubble reading "LET'S START AT THE BEGINNING"
6	0:12	0:15	char	0-12.jpg	the same man pointing proudly at a giant wobbly word "DIVIDENDS" with a starburst behind it
7	00:15	00:20	char	0-15.jpg	the same man tearing a small ticket labeled "TICKER" in half, unimpressed
8	00:20	00:23	obj	0-20.jpg	a big pie chart with one tiny slice highlighted, labeled "YOUR SLICE"
9	00:23	00:32	char	0-23.jpg	the same man standing next to a big building labeled "COMPANY" with cash flowing from it into his open hands
10	00:32	00:35	obj	0-32.jpg	a big check with "DIVIDEND" written across it
11	00:35	00:38	char	0-35.jpg	the same man in a tiny suit shaking hands quietly, a wobbly label "SILENT PARTNER"
12	00:38	00:44	char	0-38.jpg	the same man receiving a giant wobbly check from a factory-like building
13	00:44	00:49	obj	0-44.jpg	a calendar with four boxes circled labeled "Q1 Q2 Q3 Q4" and one row labeled "MONTHLY"
14	00:50	00:58	obj	0-50.jpg	a wobbly gauge dial labeled "DIVIDEND YIELD"
15	00:58	01:04	obj	0-58.jpg	a "$100" stock tag next to a "$4" arrow pointing to "4% YIELD"
16	01:04	01:06	char	1-04.jpg	the same man giving a thumbs up
17	01:06	01:09	char	1-06.jpg	the same man leaning toward the camera, pointing, eyes wide
18	01:09	01:12	char	1-09.jpg	the same man holding his shares tight in one hand while a coin drops into his other hand
19	01:12	01:18	obj	1-12.jpg	a stock chart line going up with coins raining into a jar below it
20	01:19	01:25	obj	1-19.jpg	a wobbly staircase of dollar signs climbing upward, each step bigger
21	01:25	01:33	obj	1-25.jpg	big wobbly text "DIVIDEND GROWTH" with an upward arrow through it
22	01:33	01:42	char	1-33.jpg	the same man standing at a fork in the road, one flat path and one steep rocket-shaped curve
23	01:42	01:47	char	1-42.jpg	the same man holding a coin, looking at two boxes labeled "CASH" and "REINVEST"
24	01:47	01:53	obj	1-47.jpg	big wobbly text "DRIP" dripping into a jar labeled "DIVIDEND REINVESTMENT PLAN"
25	01:53	01:58	obj	1-53.jpg	a wobbly gear machine turning a coin into a small stock certificate
26	01:58	02:01	char	1-58.jpg	the same man raising both hands, excited
27	02:01	02:04	obj	2-01.jpg	one small stock icon splitting into two smaller stock icons with coins
28	02:05	02:06	obj	2-05.jpg	coins turning into more stock icons, a multiplying arrow
29	02:06	02:10	obj	2-06.jpg	a circular wobbly arrow loop with dollar signs and stock icons around it, labeled "CYCLE"
30	02:10	02:13	char	2-10.jpg	the same man sitting back relaxed, arms crossed, a snowball rolling beside him
31	02:13	02:16	obj	2-13.jpg	a small snowball growing into a huge snowball across three steps
32	02:16	02:22	obj	2-16.jpg	a flat line curving sharply upward at the end, labeled "SLOW... THEN FAST"
33	02:22	02:27	char	2-22.jpg	the same man holding up a hand like a stop sign, a wobbly label "MISTAKES AHEAD"
34	02:28	02:31	char	2-28.jpg	the same man balancing a scale, one side "AVOID MISTAKES" the other "PICK STOCKS", both level
35	02:31	02:35	obj	2-31.jpg	a big wobbly "#1" next to a shiny sign reading "20% YIELD!" with a warning glow
36	02:35	02:42	char	2-35.jpg	the same man looking nervously at a sign reading "10% YIELD", a sweat drop on his head
37	02:42	02:46	obj	2-42.jpg	a big wobbly warning triangle with an exclamation mark over a stock chart
38	02:46	02:51	obj	2-46.jpg	a stock chart line falling off a cliff next to an overflowing money jar
39	02:51	02:56	obj	2-51.jpg	a pair of scissors cutting a dollar-sign check in half
40	02:56	02:59	obj	2-56.jpg	two downward arrows side by side, one labeled "INCOME" one labeled "STOCK"
41	02:59	03:03	obj	2-59.jpg	a wobbly bear trap snapping shut on a dollar sign, labeled "DIVIDEND TRAP"
42	03:03	03:06	obj	3-03.jpg	a big wobbly "#2" next to a pie chart labeled "PAYOUT RATIO"
43	03:06	03:10	obj	3-06.jpg	a pie chart with most of it shaded, labeled "EARNINGS USED"
44	03:10	03:13	obj	3-10.jpg	a pie chart that is almost entirely shaded
45	03:13	03:17	char	3-13.jpg	the same man standing on a thin plank over a gap, no net below
46	03:17	03:22	obj	3-17.jpg	a balanced pie chart split evenly between "SHAREHOLDERS" and "GROWTH"
47	03:23	03:27	obj	3-23.jpg	a big wobbly "#3" next to a single basket overflowing with eggs
48	03:27	03:31	char	3-27.jpg	the same man nervously watching one single building-shaped stock icon
49	03:31	03:35	char	3-31.jpg	the same man wincing as a paper labeled "EARNINGS REPORT" falls, a big frown drawn on it
50	03:35	03:41	obj	3-35.jpg	several small baskets of eggs side by side with an umbrella over all of them
51	03:42	03:46	obj	3-42.jpg	a big wobbly "#4" next to a tall building labeled "TAXES"
52	03:46	03:49	obj	3-46.jpg	a dollar bill with a wobbly "TAX" stamp on it
53	03:49	03:54	obj	3-49.jpg	a wobbly shield labeled "ROTH IRA" protecting a stack of coins
54	03:54	03:58	obj	3-54.jpg	a coin stamped "TAX PAID" dropping into a vault labeled "ROTH"
55	03:58	04:03	obj	3-58.jpg	coins growing bigger inside a vault, a wobbly "TAX FREE" stamp, a small rocking chair icon
56	04:04	04:08	obj	4-04.jpg	two growth curves side by side, one much higher labeled "NO TAX DRAG" the other flatter labeled "TAXED"
57	04:08	04:12	char	4-08.jpg	the same man rolling up his sleeves at a blank whiteboard labeled "PORTFOLIO"
58	04:12	04:20	obj	4-12.jpg	a wobbly balance scale, one side "INCOME TODAY" the other "GROWTH TOMORROW", both level
59	04:20	04:24	obj	4-20.jpg	a dial with a highlighted zone labeled "2-5%"
60	04:24	04:28	obj	4-24.jpg	a wobbly staircase of dollar signs climbing upward, each step labeled with a year
61	04:29	04:32	obj	4-29.jpg	a checklist with five boxes, all five ticked
62	04:32	04:37	obj	4-32.jpg	a big wobbly stock ticket card labeled "SCHD"
63	04:37	04:40	obj	4-37.jpg	a big wobbly anchor labeled "SCHD" holding a small boat labeled "PORTFOLIO" steady
64	04:40	04:49	obj	4-40.jpg	a single basket filled with a hundred tiny building icons, labeled "100+ COMPANIES"
65	04:49	04:52	obj	4-49.jpg	a magnifying glass over a checklist labeled "HEALTH CHECK" with ticks
66	04:52	04:58	obj	4-52.jpg	a stat card "SCHD" listing "YIELD 3.76%" and "GROWTH 10%+"
67	04:59	05:02	obj	4-59.jpg	a rising stock line labeled "+8.26%/YR"
68	05:02	05:06	obj	5-02.jpg	a big wobbly pillar block labeled "SCHD" holding up a house labeled "STRATEGY"
69	05:06	05:10	obj	5-06.jpg	a big wobbly stock ticket card labeled "NTES"
70	05:10	05:15	obj	5-10.jpg	a game controller icon and a shopping cart icon side by side under a label "NTES"
71	05:15	05:23	obj	5-15.jpg	a stat card "NTES" listing a small "YIELD 1.89%" and a huge "GROWTH 24.82%" with a rocket
72	05:23	05:27	obj	5-23.jpg	a steep rising stock line labeled "+19.36%/YR"
73	05:27	05:34	obj	5-27.jpg	a wobbly rocket engine labeled "NTES" strapped to a portfolio box, pushing it upward
74	05:34	05:38	obj	5-34.jpg	a big wobbly stock ticket card labeled "MS"
75	05:38	05:42	obj	5-38.jpg	a tall wobbly bank building labeled "MS" with a small star above it
76	05:42	05:54	obj	5-42.jpg	a stat card "MS" listing "YIELD 2.58%", "GROWTH 22.4%", "PRICE +17.18%/YR"
77	05:54	05:59	obj	5-54.jpg	a strong wobbly muscular arm labeled "MS" flexing next to a rising dividend arrow
78	06:00	06:02	obj	6-00.jpg	a big wobbly stock ticket card labeled "CUBE"
79	06:02	06:06	obj	6-02.jpg	a row of small storage-unit garage doors labeled "CUBE"
80	06:06	06:12	obj	6-06.jpg	a storage unit standing steady while wobbly weather symbols (sun, rain cloud, storm) swirl around it
81	06:12	06:17	char	6-12.jpg	the same man carrying a box labeled "STUFF" toward a storage unit door
82	06:17	06:23	obj	6-17.jpg	a stat card "CUBE" listing "YIELD 5.17%" and "GROWTH 12.51%"
83	06:23	06:26	obj	6-23.jpg	a big wobbly anchor labeled "CUBE" with dollar signs around it
84	06:26	06:30	obj	6-26.jpg	a big wobbly stock ticket card labeled "ITW"
85	06:30	06:35	obj	6-30.jpg	a wobbly factory gear icon labeled "ITW" with a small "100+ YEARS" tag
86	06:35	06:44	obj	6-35.jpg	a stat card "ITW" listing "YIELD 2.47%", "GROWTH 11.79%", "PRICE +11.75%/YR"
87	06:44	06:47	obj	6-44.jpg	a plain steady straight line marching upward, no sparkle, labeled "ITW"
