index,start,end,type,filename,description,url
1,00:00,00:03,char,0-00.jpg,"the same man standing looking slightly worried with one hand on his chin thinking, a small wobbly hand-drawn label reading ""30s"" floating beside his head",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_132843_7d7345d7-8587-408c-81ff-87e58f3a7e71.png
2,00:03,00:05,obj,0-03.jpg,"a piggy bank with a small stack of coins and a couple of dollar bills beside it, a wobbly hand-drawn label reading ""SAVED""",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223241_0635cdb4-4a65-45fd-8b93-8e72b7bc9d81.png
3,00:05,00:08,char,0-05.jpg,"the same man standing at a fork in a road that splits into two paths going left and right, a big wobbly question mark above each path",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223251_2f2874e9-1174-4a35-bded-aaeda92a3715.png
4,00:08,00:11,char,0-08.jpg,"the same man lying asleep in a small bed with ""Zzz"" above him and dollar bills and coins raining down onto him",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223256_42aa03aa-eabc-4889-84bb-f34e4216ebb6.png
5,00:11,00:13,obj,0-11.jpg,"a tiny seed sprouting on the left growing into a giant tree whose leaves are dollar signs on the right, with a big upward arrow between them",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223258_8f256e57-fd01-4277-b7db-665c28cd4025.png
6,00:13,00:15,char,0-13.jpg,the same man shrugging with both hands up and a giant wobbly question mark above his head,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223310_9f15f18f-29ae-4f0e-b8d2-2be9a7f21b08.png
7,00:15,00:18,char,0-15.jpg,the same man relaxing on a beach lounge chair wearing sunglasses with a money bag beside him and a small palm tree,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223421_1d21a240-2660-4672-8c9d-0bf66a8abc67.png
8,00:18,00:23,obj,0-18.jpg,"a big versus screen: left side wobbly text ""DIVIDENDS"", right side wobbly text ""INDEX FUNDS"", a large wobbly ""VS"" in the middle",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223424_86aa16dd-ed03-4b41-aaaa-527084f22f6a.png
9,00:23,00:29,char,0-23.jpg,the same man pointing confidently at a wooden signpost with two arrow signs pointing in different directions,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223431_d4d80c74-be31-4113-8767-f991f8c7b51a.png
10,00:29,00:34,char,0-29.jpg,"the same man standing in a smart casual outfit holding a briefcase, a wobbly hand-drawn label reading ""YOUR 30s"" beside him",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223435_0ba080f8-1d40-4539-9ff2-24749fe142b6.png
11,00:34,00:38,char,0-34.jpg,"the same man holding just a couple of coins with a graduation cap crossed out beside him, a wobbly label reading ""NOT BROKE, NOT RICH""",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223513_7e2b79ab-c945-4ffd-9289-30aa5f505bc2.png
12,00:38,00:43,obj,0-38.jpg,"three simple wobbly icons in a row: a little house, two small stick children, and a briefcase",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223618_1074b126-fff1-4e6e-8017-b04127c648c5.png
13,00:43,00:48,char,0-43.jpg,the same man standing thoughtfully next to a big balance scale weighing a coin against a clock,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223621_fec84721-979f-4977-9256-1c51347b284f.png
14,00:48,00:53,obj,0-48.jpg,"an hourglass next to a growing snowball of coins with a big upward arrow, a wobbly label reading ""COMPOUNDING""",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223625_31c9b0b6-9c57-474a-adc1-0d9f21bb9247.png
15,00:53,00:58,obj,0-53.jpg,"a wobbly calendar page reading ""10 YEARS"" with a warning exclamation mark and a red X over a wrong path",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223627_47cd4888-76ba-4ba3-b58f-a0f7418bb19c.png
16,00:58,01:03,char,0-58.jpg,"the same man as a teacher pointing at a chalkboard with big wobbly text reading ""DIVIDEND INVESTING""",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223639_d7426875-d4b2-49d7-9f95-3b9f5ae69b4e.png
17,01:03,01:08,char,1-03.jpg,the same man holding a paper share certificate while a company building hands him a bag of money,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223650_4a3cb265-be85-48ba-bc92-2abdc56fb78e.png
18,01:08,01:14,obj,1-08.jpg,"a business building with one slice cut out like a pie, next to a bank check with a big dollar sign, a wobbly label reading ""EVERY QUARTER""",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223655_bf7eb8c4-ba85-4641-bc9c-dc991da5d05c.png
19,01:14,01:20,obj,1-14.jpg,"a bank check labeled ""DIVIDEND"" with an upward arrow, beside a calendar reading ""DECADES""",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223701_4aad6930-1c6b-47db-acc3-03ea3ae905ff.png
20,01:20,01:25,char,1-20.jpg,the same man smiling happily watching coins drop into an open wallet in his hands,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223704_dc7fa1db-9dbe-4689-8529-abb4f4311b40.png
21,01:25,01:31,char,1-25.jpg,"the same man with a big smile holding cash, a wobbly hand-drawn label reading ""INCOME"" floating beside him",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223714_938d29d7-e03c-4149-b08b-fa7d569e2473.png
22,01:31,01:36,char,1-31.jpg,the same man standing calm and steady while a jagged up-and-down market line wobbles behind him and coins stay stacked steady at his feet,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223716_6fcf60f2-ed41-45bb-98f2-5eb763a47614.png
23,01:36,01:41,char,1-36.jpg,"the same man calmly refusing to press a big red button labeled ""SELL"", one hand held up flat",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223720_133fd9bf-1434-48e8-a20e-94733876651d.png
24,01:41,01:46,obj,1-41.jpg,"a see-saw balance scale showing a trade-off, a coin on one side and a small plant on the other, a wobbly label reading ""TRADE-OFF""",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223723_c9e716ac-28e9-44bd-9e3f-2e915c6e5d51.png
25,01:46,01:52,obj,1-46.jpg,"coins flying out of a shrinking business building with a downward arrow, a wobbly label reading ""NOT REINVESTED""",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223727_65af1c3b-9b88-4454-b24c-528fa7ca86e8.png
26,01:52,01:57,obj,1-52.jpg,"two plants side by side, a short slow one with a snail labeled ""DIVIDEND"" and a taller faster one labeled ""GROWTH""",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223739_13933260-debd-4adc-ad31-9839e41ba2e7.png
27,01:57,02:03,char,1-57.jpg,"the same man turning to flip a big chalkboard that now reads ""INDEX FUNDS""",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223755_093bff48-3b76-4945-b3df-1acf16c4f340.png
28,02:03,02:09,obj,2-03.jpg,"a big shopping basket full of many tiny company buildings, a wobbly label reading ""THE MARKET""",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260701_223801_c6728079-8057-404a-8d77-3a9ed9a53d9d.png
