index,start,end,filename,description,url
1,00:00,00:03,001_0-00.png,"the character looking directly at the viewer with a thought bubble containing a big question mark, a sign behind him reading RETIRE IN YOUR 30s-40s?",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260709_123927_94562214-4d9a-4161-919d-96012e967618.png
2,00:03,00:05,002_0-03.png,"a four-leaf clover crossed out with a big black X, labeled LUCK",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260709_124045_f5ce18c4-4ef7-4a30-9fff-b45102e1b5aa.png
3,00:05,00:08,003_0-05.png,"a wrapped gift box with a dollar sign crossed out with a big black X, labeled INHERITANCE",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260709_124100_fdbfedcf-0138-4874-baf3-8fb58bd3199e.png
4,00:08,00:11,004_0-08.png,several stick figures walking past a small house icon on a sidewalk without looking at it,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260709_124144_3407fa58-d7cd-4f92-80b9-33c0a67e3338.png
5,00:11,00:13,005_0-11.png,"the character suddenly noticing the same house, pointing at it with a glowing lightbulb above his head",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260709_124217_ea08b005-9496-46fc-98e2-bc4976ae65a7.png
6,00:13,00:16,006_0-13.png,a simple calculator icon with a big checkmark and a sign reading NOT COMPLICATED,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260709_124221_290abc52-6866-498c-a464-0699df625916.png
7,00:16,00:21,007_0-16.png,"the character with a surprised open-mouth expression, a big question mark and a sign reading WHY DIDN'T ANYONE SHOW ME THIS",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260709_124224_8a47619f-a42b-4a77-afb9-6ba90b8fb79f.png
8,00:21,00:26,008_0-21.png,"the character waving the viewer closer with a beckoning hand gesture, a sign reading STAY WITH ME",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260709_124229_79108041-a34e-47c1-b68f-4f8499f8c16a.png
9,00:27,00:32,009_0-27.png,a small house icon with a big checkmark labeled PAID OFF and a dollar sign glowing above it,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260709_124232_9d292096-352e-4cf2-9960-c8a621dd7093.png
10,00:32,00:36,010_0-32.png,the character with a lightbulb above his head and a sign reading THIS CHANGES EVERYTHING,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260709_124357_6c5654ea-9f0a-4b4a-a476-2d5a90f126d2.png
11,00:36,00:42,011_0-36.png,"the character scratching his head with a big question mark, a sign reading HOW MUCH TO RETIRE?",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260709_124444_a7cf80b8-a6e0-43aa-8094-a72220618681.png
12,00:42,00:47,012_0-42.png,"a big sign reading $2,000,000 or $3,000,000 with a character running on a hamster wheel chasing it",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260709_124451_8c4e6a76-2678-4f20-9860-597b8fb0f2ea.png
