index,start,end,filename,description,url
1,00:00,00:04,001_00-00_00-04.png,"A man with one thin line arm raised pointing toward the viewer, a big wobbly black question mark floating beside his head.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260613_125950_6f93e61d-8407-4c4f-ae36-25a629db9587.png
2,00:04,00:07,002_00-04_00-07.png,"A man standing relaxed with arms down, a big wobbly hand-drawn text '$1,000,000' floating above his head.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260613_125955_1eb2def9-40ac-4ee9-a06f-c6c8041b45a3.png
3,00:07,00:10,003_00-07_00-10.png,"A man shrugging with both arms out, beside him a four-leaf clover and a money bag each crossed out with a big black X.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260613_125959_6ef3b188-ee27-4dd1-a82f-f293a614999d.png
4,00:10,00:14,004_00-10_00-14.png,"A man standing, beside him a jagged stock price line chart crossed out with a big black X.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260613_130003_8c8e5684-dfbe-4c39-b4c5-dda2cb199bfa.png
5,00:14,00:19,005_00-14_00-19.png,"A man standing with a glowing lightbulb floating above his head.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260613_130006_a5d9778a-31d5-4a35-9295-8470e8427d92.png
6,00:19,00:23,006_00-19_00-23.png,"A man standing beside huge wobbly hand-drawn text 'COAST FIRE' with a small flame and a wavy ocean line below it.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260613_130009_63010dde-c1ba-462c-ae72-f63b5cda8407.png
7,00:23,00:26,007_00-23_00-26.png,"A man standing holding a small calculator in one hand.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260613_130012_27964893-981e-4e73-9a18-6075c327443a.png
8,00:26,00:29,008_00-26_00-29.png,"A man pointing at a small goal flag planted on the ground beside him.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260613_130015_3095a97e-7460-4458-98bc-09237c7508c4.png
9,00:30,00:33,009_00-30_00-33.png,"A man standing beside a chalkboard covered in wobbly numbers with plus and equals signs.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260613_130018_eec0bc49-216c-4b93-a356-ced936ebd55d.png
10,00:33,00:35,010_00-33_00-35.png,"A man pointing at three floating wobbly labels reading '20s', '30s' and '40s'.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260613_130020_ecf1fe0c-ab82-4d21-a68e-9846cba85d5e.png
11,00:35,00:41,011_00-35_00-41.png,"A man with a surprised open mouth and a small explosion burst drawn above his head, mind blown.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260613_130024_4eb25c4b-ad3c-42d8-b1fe-fbf4a3695de1.png
12,00:41,00:43,012_00-41_00-43.png,"A man standing at a drawn starting line on the ground, leaning forward ready to run.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260613_130027_c89f0be0-5109-4640-a01c-a04f367b3a8a.png
