1	00:00	00:04	6f93e61d-8407-4c4f-ae36-25a629db9587
2	00:04	00:07	1eb2def9-40ac-4ee9-a06f-c6c8041b45a3
3	00:07	00:10	6ef3b188-ee27-4dd1-a82f-f293a614999d
4	00:10	00:14	8c8e5684-dfbe-4c39-b4c5-dda2cb199bfa
5	00:14	00:19	a5d9778a-31d5-4a35-9295-8470e8427d92
6	00:19	00:23	63010dde-c1ba-462c-ae72-f63b5cda8407
7	00:23	00:26	27964893-981e-4e73-9a18-6075c327443a
8	00:26	00:29	3095a97e-7460-4458-98bc-09237c7508c4
9	00:30	00:33	eec0bc49-216c-4b93-a356-ced936ebd55d
10	00:33	00:35	ecf1fe0c-ab82-4d21-a68e-9846cba85d5e
11	00:35	00:41	4eb25c4b-ad3c-42d8-b1fe-fbf4a3695de1
12	00:41	00:43	c89f0be0-5109-4640-a01c-a04f367b3a8a
13	00:43	00:45	bbf36e1e-4f52-4308-bc07-2ac1abee4f5c
14	00:45	00:50	dbdb9aba-fcfe-415f-9ef3-e1dcb4b064bf
15	00:50	00:53	fdbec524-3801-43de-b8c7-12150da0e5a9
16	00:53	00:56	f2cafcd1-00a4-4e2e-994e-1e17a40195ba
17	00:56	00:59	8d651a62-b219-45f2-9649-12b6c4ab29e7
18	00:59	01:02	98008d94-778b-4d90-92bb-9e596cc2f156
19	01:02	01:04	9416ba12-445d-4d1c-ad93-119c8eb06206
20	01:04	01:07	27cd2986-221f-4ca5-a560-916c12a5f4a1
21	01:07	01:11	96631e64-8db3-4b3a-adf5-903b26333ed0
22	01:11	01:14	336415c9-bc63-4051-82e1-39e4b43166fd
23	01:14	01:16	bc11f2a4-386b-4d1f-851b-62a29209a3e5
24	01:16	01:20	86cd6e93-afc7-4b53-bd3d-c6c170abdfc3
25	01:20	01:22	8e2ad397-b024-4c3a-bd39-0b20c3a701a4
26	01:22	01:28	a500fcee-f466-4d06-9dec-5bc5f1a71da9
27	01:28	01:34	8c188baa-d234-4851-bd78-41d12b942d5c
28	01:34	01:37	2a3aaacc-88a2-4315-9ec7-f1ee8892ac03
29	01:37	01:42	7181ac57-f686-49e3-b80f-3b73d9ee0e05
30	01:42	01:43	c80d1b38-eae8-4f70-b5e1-66fcf32728e9
31	01:44	01:48	72155129-7970-40c0-99ab-05915f0c4bec
32	01:48	01:55	38a46981-a10c-4022-9be6-ea1b7fcb9237
33	01:55	01:58	dc5daf49-b793-4ad9-afc9-466bb4206726
34	01:59	02:02	295f20c5-ac54-4c82-9f0a-265069b70cc5
35	02:02	02:04	cdfbf790-b694-41e3-8e63-87b3ffcc17e3
36	02:04	02:09	6d9312d4-b03b-4229-a784-09a5bcdca401
37	02:09	02:12	2a29f22f-db3d-4ecb-a722-3758b56c5641
38	02:13	02:15	68216178-4138-471d-b7cd-2098d5035b7c
39	02:15	02:19	07c0a51f-5287-45c6-b072-bfe16e981d20
40	02:19	02:22	a538fa60-aae6-435d-a1b6-f339151d88e7
41	02:22	02:25	fed29908-39da-4448-b148-ad4e0d9a0dc8
