index,start,end,type,jpg_filename,png_filename,url
1,00:00,00:03,char,00-00.jpg,001_00-00.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260709_153521_c2e02745-68f4-44a7-8271-03a2a8022145.png
2,00:03,00:05,obj,00-03.jpg,002_00-03.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_124401_ffa84b36-167e-4cf0-b0b5-f3bffe671540.png
3,00:05,00:08,obj,00-05.jpg,003_00-05.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_124404_20359367-773b-4a70-80d5-47b37f08a88a.png
4,00:08,00:10,char,00-08.jpg,004_00-08.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_122651_8874f32b-4b94-4112-ac13-d0b1ef4c38b5.png
5,00:10,00:13,obj,00-10.jpg,005_00-10.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_122705_66e0f310-2e25-4610-8b76-da036f6a18e3.png
6,00:13,00:15,char,00-13.jpg,006_00-13.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_122918_8e14c915-92c7-4037-9a7b-858d9fe0085b.png
7,00:15,00:20,obj,00-15.jpg,007_00-15.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_124409_0c7c77c7-a304-45d9-9b40-c6f78c37ad1b.png
8,00:20,00:25,char,00-20.jpg,008_00-20.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_124141_624d7b09-8a38-4199-b600-d767cd9a51a1.png
9,00:25,00:31,char,00-25.jpg,009_00-25.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_124154_1d22c857-6dca-4a2e-b06a-9f856900f140.png
10,00:31,00:37,obj,00-31.jpg,010_00-31.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_124412_08b90136-c76a-4f97-9ccb-9a4d485a1e29.png
11,00:37,00:42,char,00-37.jpg,011_00-37.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_124202_79bc888b-86c5-4343-b042-448de90bad79.png
12,00:42,00:48,obj,00-42.jpg,012_00-42.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_124417_1296a807-500b-4269-b8f0-b97beb6ff1f1.png
13,00:48,00:52,char,00-48.jpg,013_00-48.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_124213_f947f2d3-9efb-447a-831d-af1aa0ef88de.png
14,00:53,00:57,obj,00-53.jpg,014_00-53.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_124424_ace68d6c-e42c-41df-bfc5-ba5931bd20cf.png
15,00:57,01:04,obj,00-57.jpg,015_00-57.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_124431_33ec6731-b824-4f3b-b124-853b3761d057.png
16,01:04,01:11,obj,01-04.jpg,016_01-04.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_124436_132527c3-c162-4592-b587-a705935470a1.png
17,01:11,01:18,obj,01-11.jpg,017_01-11.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_124439_6a3f595f-7c1f-415b-9a45-f8f42ebef1c6.png
18,01:18,01:23,obj,01-18.jpg,018_01-18.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_124444_17ad1290-bea8-4608-86ed-d57a9cbd8d74.png
19,01:23,01:29,obj,01-23.jpg,019_01-23.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_124449_8b2556f9-956c-4ee1-9a94-7bada3420888.png
20,01:29,01:35,obj,01-29.jpg,020_01-29.png,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260714_124452_385d7dff-10c3-4ad4-80d3-2dc272c72582.png
